#score	name1	strand1	size1	zstart1	end1	name2	strand2	size2	zstart2	end2	identity	idPct	coverage	covPct
5091	U00096.2	+	4639675	2428957	2429036	NODE_1_length_5398_cov_392.517242	+	5418	0	80	68/79	86.1%	80/5418	1.5%
3480	U00096.2	+	4639675	4101528	4101577	NODE_1_length_5398_cov_392.517242	+	5418	40	89	42/49	85.7%	49/5418	0.9%
519723	U00096.2	+	4639675	66795	72213	NODE_1_length_5398_cov_392.517242	-	5418	0	5418	5418/5418	100.0%	5418/5418	100.0%
933060	U00096.2	+	4639675	5647	15406	NODE_2_length_9739_cov_425.925964	+	9759	0	9759	9759/9759	100.0%	9759/9759	100.0%
22549	U00096.2	+	4639675	2655430	2656891	NODE_2_length_9739_cov_425.925964	-	9759	1708	3229	864/1436	60.2%	1521/9759	15.6%
20029	U00096.2	+	4639675	3848881	3850767	NODE_3_length_27782_cov_409.924652	+	27802	12425	14358	1076/1791	60.1%	1933/27802	7.0%
6913	U00096.2	+	4639675	4244890	4245322	NODE_3_length_27782_cov_409.924652	+	27802	27145	27577	257/410	62.7%	432/27802	1.6%
2662093	U00096.2	+	4639675	72198	100000	NODE_3_length_27782_cov_409.924652	-	27802	0	27802	27802/27802	100.0%	27802/27802	100.0%
718296	U00096.2	+	4639675	59089	66583	NODE_4_length_7474_cov_407.869141	+	7494	0	7494	7494/7494	100.0%	7494/7494	100.0%
34181	U00096.2	+	4639675	3748080	3748805	NODE_4_length_7474_cov_407.869141	-	7494	6	730	533/721	73.9%	724/7494	9.7%
127459	U00096.2	+	4639675	15392	16725	NODE_5_length_1313_cov_1174.610107	+	1333	0	1333	1333/1333	100.0%	1333/1333	100.0%
511717	U00096.2	+	4639675	20437	25778	NODE_6_length_5321_cov_451.865265	+	5341	0	5341	5341/5341	100.0%	5341/5341	100.0%
4822	U00096.2	+	4639675	3545925	3545996	NODE_6_length_5321_cov_451.865265	-	5341	0	70	62/70	88.6%	70/5341	1.3%
12158	U00096.2	+	4639675	3581442	3581576	NODE_6_length_5321_cov_451.865265	-	5341	5204	5341	133/134	99.3%	137/5341	2.6%
324888	U00096.2	+	4639675	16711	20119	NODE_7_length_3388_cov_632.743225	+	3408	0	3408	3408/3408	100.0%	3408/3408	100.0%
30878	U00096.2	+	4639675	278384	278710	NODE_7_length_3388_cov_632.743225	+	3408	3082	3408	324/326	99.4%	326/3408	9.6%
31023	U00096.2	+	4639675	1976526	1976850	NODE_7_length_3388_cov_632.743225	+	3408	3084	3408	324/324	100.0%	324/3408	9.5%
31291	U00096.2	+	4639675	1049444	1049784	NODE_7_length_3388_cov_632.743225	-	3408	0	340	333/340	97.9%	340/3408	10.0%
3920	U00096.2	+	4639675	20099	20140	NODE_8_length_21_cov_1793.047607	+	41	0	41	41/41	100.0%	41/41	100.0%
3920	U00096.2	+	4639675	3581873	3581914	NODE_8_length_21_cov_1793.047607	-	41	0	41	41/41	100.0%	41/41	100.0%
3929	U00096.2	+	4639675	1049423	1049464	NODE_13_length_21_cov_477.952393	+	41	0	41	41/41	100.0%	41/41	100.0%
3929	U00096.2	+	4639675	278690	278731	NODE_13_length_21_cov_477.952393	-	41	0	41	41/41	100.0%	41/41	100.0%
4811	U00096.2	+	4639675	66563	66613	NODE_14_length_30_cov_1058.866699	-	50	0	50	50/50	100.0%	50/50	100.0%
5662	U00096.2	+	4639675	1455791	1456050	NODE_15_length_13370_cov_397.608673	+	13390	3281	3540	152/257	59.1%	259/13390	1.9%
14600	U00096.2	+	4639675	1462512	1463033	NODE_15_length_13370_cov_397.608673	+	13390	3813	4334	333/511	65.2%	521/13390	3.9%
5726	U00096.2	+	4639675	2252608	2253193	NODE_15_length_13370_cov_397.608673	+	13390	11277	11862	333/551	60.4%	585/13390	4.4%
1281868	U00096.2	+	4639675	25776	39166	NODE_15_length_13370_cov_397.608673	-	13390	0	13390	13390/13390	100.0%	13390/13390	100.0%
32150	U00096.2	+	4639675	3581558	3581893	NODE_21_length_315_cov_2474.187256	+	335	0	335	335/335	100.0%	335/335	100.0%
32150	U00096.2	+	4639675	20120	20455	NODE_21_length_315_cov_2474.187256	-	335	0	335	335/335	100.0%	335/335	100.0%
534150	U00096.2	+	4639675	0	5580	NODE_22_length_5560_cov_392.255402	+	5580	0	5580	5580/5580	100.0%	5580/5580	100.0%
7713	U00096.2	+	4639675	5581	5662	NODE_24_length_61_cov_364.786896	+	81	0	81	81/81	100.0%	81/81	100.0%
5887	U00096.2	+	4639675	698654	698730	NODE_24_length_61_cov_364.786896	-	81	0	76	68/76	89.5%	76/81	93.8%
34073	U00096.2	+	4639675	3476955	3479150	NODE_33_length_19837_cov_419.725250	+	19857	9633	11812	1272/2092	60.8%	2179/19857	11.0%
1900704	U00096.2	+	4639675	39215	59072	NODE_33_length_19837_cov_419.725250	-	19857	0	19857	19857/19857	100.0%	19857/19857	100.0%
3938	U00096.2	+	4639675	66627	66668	NODE_37_length_21_cov_689.000000	-	41	0	41	41/41	100.0%	41/41	100.0%
6530	U00096.2	+	4639675	39164	39232	NODE_47_length_48_cov_361.416656	+	68	0	68	68/68	100.0%	68/68	100.0%
5432	U00096.2	+	4639675	762025	762090	NODE_47_length_48_cov_361.416656	-	68	0	65	60/65	92.3%	65/68	95.6%
