X	21386513	21390628	X	21374001	21385159	slgA	1355
X	21604845	21605143	X	21605883	21608920	CG17450	741
X	21629606	21630032	X	21630935	21631433	CR44712	904
X	22444931	22445200	X	22447182	22449491	CG14615	1983
X	22454771	22455232	X	22455802	22470146	CG14619	571
X	22455884	22456098	X	22451444	22455422	wap	463
X	22479744	22485151	X	22487179	22508129	l(1)G0196	2029
X	22528164	22532670	X	22534830	22540383	CG17598	2161
X	22537315	22541864	X	22542385	22544322	CG17599	522
X	23013788	23013948	X	23012139	23013409	Rab21	380
Y	2267379	2267733	Y	2266649	2267259	CR45931	121
Y	2623651	2624197	Y	2593621	2595311	Su(Ste):CR42424	28341
Y_CP007111v1_random	11542	11873	.	-1	-1	.	-1
